용어,정의
각출,각자의 비용을 각자 지불하는 것
갹출,같은 목적을 위해 여러 사람이 돈을 나눠 내는 것
검토,어떤 내용이나 사실을 분석하고 확인함
격무,몹시 고된 업무
격일,"하루를 거름 (ex. 이번 콘텐츠는 월, 수, 금 격일 발행 하겠습니다)"
결재,부하직원이 제출한 안건을 상사가 검토한 뒤 승인하는 것
결제,거래에 대한 대금을 주고받는 것
공란,비워둔 칸
공람,여러 사람이 봄. 또는 여러 사람이 보게 함
공문,공공기관이나 단체에서 공식적으로 작성한 문서
공제,받을 몫에서 일정한 금액을 뺌
구두,입으로 하는 말 (ex. 구두상으로 말씀드렸다시피~)
귀사,주로 편지글에서 상대방의 회사를 높여 이르는 말
금번,이번 (ex. 금번에도 동일한 절차로 처리하겠습니다)
금일,오늘 (ex. 금일 개인 사정으로 휴업합니다)
금주,이번주
기안,①의사결정을 위해 작성하는 문서 ②사업이나 활동 계획의 초안
기재,문서에 기록하다
납기,고객에게 주문받은 물품이나 결과물을 가져다줘야 하는 마감 기한
노무,①노동 ②노동과 관련된 사무
노티(Notice),"알리다, 공지하다"
누락,기입되거나 처리되어야 하는 내용이 빠지다
당기순이익,일정 회계기간동안 발생한 전체 수익에서 비용을 차감한 금액
당사,"바로 그 회사, 또는 바로 이 회사"
당일,특정한 바로 그 날 ≠오늘 (ex. 제품에 이상이 없는지 수령한 당일에 확인해주세요)
대결,기존의 결재권자가 결재할 수 없을 때 그 직무를 대리하는 자가 결재하는 것
대금,물건의 값으로 치르는 돈
대외비,외부에 알리지 않기로 한 비밀
더블체크(Double check),오류가 없는지 재확인하는 것
데드라인(Deadline),마감일
도메인(Domain),"①비즈니스가 속한 산업 분야, 영역, 환경 전반을 일컫는 말 ②인터넷 주소(URL)의 일부"
듀데이트(Due date),마감 기한
디벨롭(Develop),"발전시키다, 구체화하다"
램프업(Ramp up),생산 능력 등을 늘리다
랩업(Wrap up),회고
러프(Rough),"거친, 대략적인 (ex. 아직 확정된 프로젝트가 아니니 러프하게 기획안 준비해주세요)"
레거시(Legacy),현재까지 쓰이는 낡은 기존 시스템 또는 현재 체계에 영향을 미치는 과거의 시스템
레슨런(Lesson learned),성공 또는 실패의 경험을 통해 교훈을 얻는 것
레퍼런스(Reference),참고 자료
로우데이터(Raw data),가공하지 않은 원본 자료
룩앤필(Look & Feel),제품의 겉모양이나 인터페이스 등 눈에 보이는 시각적 요소
리소스(Resource),"인력, 시간, 돈 등 업무에 투입되는 자원"
리스트업(List up),데이터를 목록화하는 것 (ex. 섭외 후보 리스트업해주세요)
린(Lean),"군살이 없는, 낭비 없이 효율적인 운영 방식을 가리킨다 (ex. 일단 린하게 실행부터 해봅시다)"
릴리즈(Release),"발표, 배포, 출시"
마이그레이션(Migration),데이터 등을 새로운 운영 체계로 옮겨가는 과정
